NPSN,NAMA SEKOLAH,ALAMAT,DAFTAR KOMPETENSI,DAFTAR KOMPETENSI2,DAFTAR KOMPETENSI3,DAFTAR KOMPETENSI4,DAFTAR KOMPETENSI5,DAFTAR KOMPETENSI6,DAFTAR KOMPETENSI7,DAFTAR KOMPETENSI8,DAFTAR KOMPETENSI9,DAFTAR KOMPETENSI10,Nilai Rerata,Domisili
20103787,SMK NEGERI 26,"JL. BALAI PUSTAKA BARU I, JAKARTA TIMUR",Konstruksi Gedung dan Sanitasi, Teknik Instalasi Tenaga Listrik, Teknik Fabrikasi Logam dan Manufaktur, Teknik Kendaraan Ringan," Sistem Informasi, Jaringan dan Aplikasi", Teknik Elektronika Komunikasi, Teknik Bodi Kendaraan Ringan,,,,64.15,Jakarta Timur
20100163,SMK NEGERI 27,"JL. DR. SUTOMO NO 1, JAKARTA PUSAT",Usaha Layanan Wisata, Perhotelan, Kuliner, Tata Kecantikan Kulit dan Rambut, Desain dan Produksi Busana, Desain Komunikasi Visual,,,,,60.54,Jakarta Pusat
20102585,SMK NEGERI 28,JL. MARITIM NO. 26,Layanan Penunjang Keperawatan dan Caregiving, Pekerjaan Sosial, Perhotelan, Kuliner,,,,,,,57.18,Jakarta Selatan
20102602,SMK NEGERI 29,"JL. PROF. JOKOSUTONO. SH NO. 1, JAKARTA SELATAN","Teknik Pemanasan, Tata Udara, dan Pendinginan", Airframe Powerplant, Electrical Avionic, Teknik Elektronika Industri,,,,,,,55.75,Jakarta Selatan
20102582,SMK NEGERI 30,"JL. PAKU BUWONO 6 KEBAYORAN. DKI JKT, JAKARTA SELATAN",Perhotelan, Kuliner, Desain dan Produksi Busana,,,,,,,,59.23,Jakarta Selatan
20100165,SMK NEGERI 31,JL. KRAMAT JAYA BARU BLOK D II,Animasi, Desain Komunikasi Visual, Manajemen Perkantoran, Akuntansi, Layanan Perbankan, Bisnis Retail,,,,,51.51,Jakarta Pusat
20102581,SMK NEGERI 32,JL. TEBET DALAM 4 NO. 1,Perhotelan, Kuliner, Desain dan Produksi Busana,,,,,,,,53.8,Jakarta Selatan
20107434,SMK NEGERI 33,"JL. GADING MAS TIMUR DUA, JAKARTA UTARA",Usaha Layanan Wisata, Perhotelan, Kuliner, Desain dan Produksi Busana,,,,,,,58.31,Jakarta Utara
20100166,SMK NEGERI 34,JL. KRAMAT RAYA NO. 93,Teknik Instalasi Tenaga Listrik, Teknik Pemesinan, Teknik Kendaraan Ringan, Teknik Sepeda Motor, Desain Komunikasi Visual,,,,,,59.79,Jakarta Pusat
20101501,SMK NEGERI 35,JL. KERAJINAN NO. 42,Desain Pemodelan dan Informasi Bangunan, Teknik Instalasi Tenaga Listrik, Teknik Pemesinan, Teknik Kendaraan Ringan, Teknik Audio Video,,,,,,53.71,Jakarta Barat
20107435,SMK NEGERI 36,JL. BARU KOSAMBI III,Teknik Pemesinan, Teknik Kendaraan Ringan, Teknik Alat Berat, Nautika Kapal Penangkapan Ikan, Teknika Kapal Penangkapan Ikan, Teknik Komputer dan Jaringan, Desain Komunikasi Visual, Agribisnis Ikan Hias,,,58.47,Jakarta Utara
20102601,SMK NEGERI 37,JL. PERTANIAN 3,Perhotelan, Kuliner, Desain dan Produksi Busana,,,,,,,,53.06,Jakarta Selatan
20100167,SMK NEGERI 38,"JL. KARET PASAR BARU TIMUR 2 - KARET TENGSIN - TANAH ABANG, JAKARTA PUSAT 10220",Perhotelan, Kuliner, Desain dan Produksi Busana,,,,,,,,54.29,Jakarta Pusat
20100168,SMK NEGERI 39,JL. CEMPAKA PUTIH TENGAH VI NO. 2,Teknik Kendaraan Ringan, Teknik Sepeda Motor, Teknik Audio Video, Teknik Elektronika Industri, Teknik Elektronika Komunikasi,,,,,,53.18,Jakarta Pusat
20103786,SMK NEGERI 40,JL. NANAS I UTAN KAYU,Rekayasa Perangkat Lunak, Desain Komunikasi Visual, Manajemen Perkantoran, Akuntansi, Bisnis Retail,,,,,,54.4,Jakarta Timur
20102580,SMK NEGERI 41,JL. MARGASATWA KOMPLEK TIMAH,Desain Komunikasi Visual, Manajemen Perkantoran, Akuntansi, Bisnis Retail, Bisnis Digital,,,,,,58.57,Jakarta Selatan
20101500,SMK NEGERI 42,JL. KAMAL RAYA,Produksi dan Siaran Program Radio, Manajemen Perkantoran, Akuntansi, Bisnis Retail,,,,,,,62.08,Jakarta Barat
20102600,SMK NEGERI 43,JL. CIPULIR 1,Teknik Komputer dan Jaringan, Manajemen Logistik, Akuntansi, Bisnis Retail, Rekayasa Perangkat Lunak,,,,,,54.87,Jakarta Selatan
20100157,SMK NEGERI 44,JL. HARAPAN JAYA 9/5A,Teknik Komputer dan Jaringan, Manajemen Perkantoran, Akuntansi, Bisnis Retail,,,,,,,56.31,Jakarta Pusat
20101499,SMK NEGERI 45,JL. KPBD,Produksi dan Siaran Program Televisi, Manajemen Perkantoran, Akuntansi, Bisnis Retail, Desain Komunikasi Visual,,,,,,61.33,Jakarta Barat
20103785,SMK NEGERI 46,JL. B7 CIPINANG BESAR UTARA,Rekayasa Perangkat Lunak, Desain Komunikasi Visual, Manajemen Perkantoran, Akuntansi, Bisnis Retail,,,,,,60.3,Jakarta Timur
20102599,SMK NEGERI 47,JL. CONDET PEJATEN,Desain Komunikasi Visual, Produksi dan Siaran Program Televisi, Manajemen Perkantoran, Akuntansi, Bisnis Retail,,,,,,54,Jakarta Selatan
20103784,SMK NEGERI 48,"JL. RAYA PERUMNAS KLENDER, JAKARTA TIMUR",Desain Komunikasi Visual, Produksi dan Siaran Program Televisi, Manajemen Perkantoran, Akuntansi, Bisnis Digital, Bisnis Retail,,,,,62.51,Jakarta Timur
20107437,SMK NEGERI 49,JL. SARANG BANGO NO. 1,Desain Komunikasi Visual, Bisnis Digital, Bisnis Retail, Manajemen Perkantoran, Manajemen Logistik, Layanan Perbankan Syariah, Akuntansi,,,,60.48,Jakarta Utara
20103782,SMK NEGERI 50,JL. CIPINANG MUARA NO. 1,Desain Komunikasi Visual, Manajemen Perkantoran, Akuntansi, Bisnis Retail, Bisnis Digital,,,,,,54.65,Jakarta Timur
20103781,SMK NEGERI 51,JL. SMEA 33 - SMIK,Produksi dan Siaran Program Televisi, Produksi Film, Desain Komunikasi Visual, Manajemen Perkantoran, Akuntansi, Bisnis Retail, Bisnis Digital,,,,61.88,Jakarta Timur
20103780,SMK NEGERI 52,JL. TARUNA JAYA,Desain Pemodelan dan Informasi Bangunan, Desain dan Teknik Furnitur, Teknik Pemesinan, Teknik Kendaraan Ringan,,,,,,,57.1,Jakarta Timur
