NPSN,NAMA SEKOLAH,ALAMAT,DAFTAR KOMPETENSI,DAFTAR KOMPETENSI2,DAFTAR KOMPETENSI3,DAFTAR KOMPETENSI4,DAFTAR KOMPETENSI5,DAFTAR KOMPETENSI6,DAFTAR KOMPETENSI7,DAFTAR KOMPETENSI8,DAFTAR KOMPETENSI9,DAFTAR KOMPETENSI10,Nilai Rerata,Domisili
20103310,SMA NEGERI 54,JL. JATINEGARA TIMUR IV,KURIKULUM MERDEKA,,,,,,,,,,60.81,Jakarta Timur
20102575,SMA NEGERI 55,JL. MINYAK RAYA,KURIKULUM MERDEKA,,,,,,,,,,67.21,Jakarta Selatan
20101605,SMA NEGERI 56,JL. KAMAL RAYA TEGAL ALUR,KURIKULUM MERDEKA,,,,,,,,,,56.53,Jakarta Barat
20101604,SMA NEGERI 57,JL. RAYA KEDOYA,KURIKULUM MERDEKA,,,,,,,,,,57.88,Jakarta Barat
20103309,SMA NEGERI 58,JL. RAYA CIRACAS,KURIKULUM MERDEKA,,,,,,,,,,65.46,Jakarta Timur
20103308,SMA NEGERI 59,JL. BULAK TIMUR I NO.10-11,KURIKULUM MERDEKA,,,,,,,,,,57.47,Jakarta Timur
20102573,SMA NEGERI 60,JL. KEMANG TIMUR I NO.6,KURIKULUM MERDEKA,,,,,,,,,,62.12,Jakarta Selatan
20103307,SMA NEGERI 61,JL. TARUNA PAH. REVOLUSI,KURIKULUM MERDEKA,,,,,,,,,,72.06,Jakarta Timur
20103306,SMA NEGERI 62,JL. RAYA BOGOR KM. 20,KURIKULUM MERDEKA,,,,,,,,,,61.76,Jakarta Timur
20102572,SMA NEGERI 63,JL. AMD V MANUNGGAL V/57,KURIKULUM MERDEKA,,,,,,,,,,64.66,Jakarta Selatan
20103305,SMA NEGERI 64,JL. RAYA CIPAYUNG,KURIKULUM MERDEKA,,,,,,,,,,60.52,Jakarta Timur
20101589,SMA NEGERI 65,JL. RAYA PANJANG,KURIKULUM MERDEKA,,,,,,,,,,67.63,Jakarta Barat
20102571,SMA NEGERI 66,JL. BANGO III,KURIKULUM MERDEKA,,,,,,,,,,62.73,Jakarta Selatan
20103304,SMA NEGERI 67,JL. SQUADRON HALIM PK,KURIKULUM MERDEKA,,,,,,,,,,63.31,Jakarta Timur
20100199,SMA NEGERI 68,JL SALEMBA RAYA NO 18,KURIKULUM MERDEKA,,,,,,,,,,76.28,Jakarta Pusat
20107185,SMA NEGERI 69 (KEPULAUAN SERIBU),PULAU PRAMUKA RT 002 RW 005,KURIKULUM MERDEKA,,,,,,,,,,59.13,Kepulauan Seribu
20102570,SMA NEGERI 70,JL. BULUNGAN BLOK C NO.1,KURIKULUM MERDEKA,,,,,,,,,,70.01,Jakarta Selatan
20103303,SMA NEGERI 71,JL. H. DOGOL KAV. TNI-AL,KURIKULUM MERDEKA,,,,,,,,,,68.64,Jakarta Timur
20100796,SMA NEGERI 72,JL. PRIHATIN KOMP. TNI AL,KURIKULUM MERDEKA,,,,,,,,,,64.4,Jakarta Utara
20100795,SMA NEGERI 73,JL. RAYA CAKUNG CILINCING NO.1,KURIKULUM MERDEKA,,,,,,,,,,59.75,Jakarta Utara
20102569,SMA NEGERI 74,JL. DARMA PUTRA XI,KURIKULUM MERDEKA,,,,,,,,,,56.36,Jakarta Selatan
20100779,SMA NEGERI 75,JL. TIPAR CAKUNG,KURIKULUM MERDEKA,,,,,,,,,,62.3,Jakarta Utara
20103302,SMA NEGERI 76,JL. TIPAR CAKUNG,KURIKULUM MERDEKA,,,,,,,,,,55.82,Jakarta Timur
20100201,SMA NEGERI 77,JL. CEMPAKA PUTIH TENGAH,KURIKULUM MERDEKA,,,,,,,,,,69.35,Jakarta Pusat
20101588,SMA NEGERI 78,JL. BHAKTI IV/1 KOMPLEK PAJAK,KURIKULUM MERDEKA,,,,,,,,,,71.46,Jakarta Barat
20107320,SMA NEGERI 79,JL. MENTENG PULO UJUNG,KURIKULUM MERDEKA,,,,,,,,,,56.53,Jakarta Selatan
20100780,SMA NEGERI 80,JL. SUNTER KARYA SELATAN V NO.80,KURIKULUM MERDEKA,,,,,,,,,,64.96,Jakarta Utara
20103301,SMA NEGERI 81,"JL. KARTIKA EKA PAKSI, KPAD",KURIKULUM MERDEKA,,,,,,,,,,77.47,Jakarta Timur
20102566,SMA NEGERI 82,JL. DAHA II/15A,KURIKULUM MERDEKA,,,,,,,,,,58.65,Jakarta Selatan
20100781,SMA NEGERI 83,JL. TIPAR CAKUNG,KURIKULUM MERDEKA,,,,,,,,,,55.26,Jakarta Utara
20101587,SMA NEGERI 84,JL. PETA BARAT NO.42,KURIKULUM MERDEKA,,,,,,,,,,61.96,Jakarta Barat
20101586,SMA NEGERI 85,JL. SRENGSENG RAYA,KURIKULUM MERDEKA,,,,,,,,,,61.7,Jakarta Barat
20102565,SMA NEGERI 86,JL. BINTARO PERMAI IV NO.36,KURIKULUM MERDEKA,,,,,,,,,,57.32,Jakarta Selatan
20102564,SMA NEGERI 87,JL. MAWAR II BINTARO,KURIKULUM MERDEKA,,,,,,,,,,57.83,Jakarta Selatan
20103300,SMA NEGERI 88,JL. SAWO INDAH,KURIKULUM MERDEKA,,,,,,,,,,59.27,Jakarta Timur
20103299,SMA NEGERI 89,JL. KAYU TINGGI,KURIKULUM MERDEKA,,,,,,,,,,65.39,Jakarta Timur
20102563,SMA NEGERI 90,JL. SABAR PETUKANGAN,KURIKULUM MERDEKA,,,,,,,,,,65.36,Jakarta Selatan
20103278,SMA NEGERI 91,JL. LEMBAH LONTAR,KURIKULUM MERDEKA,,,,,,,,,,64.26,Jakarta Timur
20100782,SMA NEGERI 92,JL. KOMPLEK PEMADAM KEBAKARAN,KURIKULUM MERDEKA,,,,,,,,,,60.93,Jakarta Utara
20103258,SMA NEGERI 93,JL. RAYA BOGOR KOMPLEK PASPAMPRES,KURIKULUM MERDEKA,,,,,,,,,,57.47,Jakarta Timur
20101585,SMA NEGERI 94,JL. RAYA SEMANAN,KURIKULUM MERDEKA,,,,,,,,,,64.45,Jakarta Barat
20101584,SMA NEGERI 95,JL. SATU MARETNO.49,KURIKULUM MERDEKA,,,,,,,,,,62.93,Jakarta Barat
20101583,SMA NEGERI 96,JL. JATI RAYA 40,KURIKULUM MERDEKA,,,,,,,,,,62.29,Jakarta Barat
20102562,SMA NEGERI 97,JL. BRIGIF 2,KURIKULUM MERDEKA,,,,,,,,,,63.73,Jakarta Selatan
20103257,SMA NEGERI 98,JL. JAHA NO.1,KURIKULUM MERDEKA,,,,,,,,,,61.16,Jakarta Timur
20103256,SMA NEGERI 99,JL. CIBUBUR II,KURIKULUM MERDEKA,,,,,,,,,,66.56,Jakarta Timur
20103294,SMA NEGERI 100,JL. PERSATUAN 2,KURIKULUM MERDEKA,,,,,,,,,,57.45,Jakarta Timur
20101627,SMA NEGERI 101,JL. KOMPLEKS JOGLO BARU,KURIKULUM MERDEKA,,,,,,,,,,58.35,Jakarta Barat
20103293,SMA NEGERI 102,JL. KAYUTINGGI,KURIKULUM MERDEKA,,,,,,,,,,59.75,Jakarta Timur
20103292,SMA NEGERI 103,JL. MAWAR MERAH,KURIKULUM MERDEKA,,,,,,,,,,63.09,Jakarta Timur
20103291,SMA NEGERI 104,JL. H. TAIMAN BARAT,KURIKULUM MERDEKA,,,,,,,,,,57.23,Jakarta Timur
20103290,SMA NEGERI 105,JL. USMAN,KURIKULUM MERDEKA,,,,,,,,,,58.91,Jakarta Timur
20103289,SMA NEGERI 106,JL. GANDARIA I,KURIKULUM MERDEKA,,,,,,,,,,57.52,Jakarta Timur
20103288,SMA NEGERI 107,JL. KAMP. RAWA BADUNG TIMUR,KURIKULUM MERDEKA,,,,,,,,,,55.1,Jakarta Timur
20102230,SMA NEGERI 108,JL. KESADARAN ULUJAMI RAYA,KURIKULUM MERDEKA,,,,,,,,,,61.89,Jakarta Selatan
20102219,SMA NEGERI 109,JL. GARDU NO. 31,KURIKULUM MERDEKA,,,,,,,,,,57.73,Jakarta Selatan
20100802,SMA NEGERI 110,JL. BENDUNGAN MELAYU,KURIKULUM MERDEKA,,,,,,,,,,64.71,Jakarta Utara
20100803,SMA NEGERI 111,JL. BANDENGAN UTARA NO. 80,KURIKULUM MERDEKA,,,,,,,,,,56.3,Jakarta Utara
20101626,SMA NEGERI 112,JL. SANGGRAHAN NO. 2,KURIKULUM MERDEKA,,,,,,,,,,64.05,Jakarta Barat
20103286,SMA NEGERI 113,JL. ALBAIDO,KURIKULUM MERDEKA,,,,,,,,,,68.64,Jakarta Timur
20100804,SMA NEGERI 114,JL. PEDONGKELAN NO.25,KURIKULUM MERDEKA,,,,,,,,,,58.02,Jakarta Utara
20100805,SMA NEGERI 115,JL. ROROTAN X ROROTAN,KURIKULUM MERDEKA,,,,,,,,,,56.14,Jakarta Utara
70053381,SMA NEGERI 116,"JL. SD III, RT. 02, RW. 08",KURIKULUM MERDEKA,,,,,,,,,,55.54,Jakarta Selatan
70054019,SMA NEGERI 117,JALAN CIASEM NO 2,KURIKULUM MERDEKA,,,,,,,,,,57,Jakarta Pusat
