NPSN;NAMA SEKOLAH;ALAMAT;DAFTAR KOMPETENSI;DAFTAR KOMPETENSI2;DAFTAR KOMPETENSI3;DAFTAR KOMPETENSI4;DAFTAR KOMPETENSI5;DAFTAR KOMPETENSI6;DAFTAR KOMPETENSI7;DAFTAR KOMPETENSI8;DAFTAR KOMPETENSI9;DAFTAR KOMPETENSI10;Domisili;Rerata prestasi akademik;Rerata prestasi nonakademik;rerata tahap kedua;rerata afirmasi;rerata zonasi;akreditasi;daya tampung prestasi akademik;daya tampung prestasi nonakademik;daya tampung tahap kedua;daya tampung afirmasi;daya tampung zonasi
69992314;SMK NEGERI 70;JL. TIPAR CAKUNG KAV. DKI RT 12 RW 04. KEL. PNDOK KELAPA. KEC. DUREN SAWIT. KOTA ADM. JAKARTA TIMUR;Perhotelan; Kuliner; Desain dan Produksi Busana;;;;;;;;Jakarta Timur;59.43;60.87;50.65;49.71;;A;57 murid;9 murid;30 murid;4 murid;
69992322;SMK NEGERI 71;JL. RADJIMAN WIDYODININGRAT PULO JAHE RT 12 RW 14. KEL. JATINEGARA. KEC. CAKUNG JAKARTA TIMUR;Desain Komunikasi Visual; Rekayasa Perangkat Lunak; Animasi;;;;;;;;Jakarta Timur;56.65;59.74;50.42;49.72;;A;95 murid;13 murid;59 murid;4 murid;
69992346;SMK NEGERI 72;JL. KAYU BESAR BULAK JATI NO. 18 RT. 008/012;Teknik Jaringan Tenaga Listrik; Teknik Pemanasan. Tata Udara. dan Pendinginan;;;;;;;;;Jakarta Barat;53.25;52.79;49.91;49.74;;B;76 murid;10 murid;52 murid;8 murid;
69992323;SMK NEGERI 73;JALAN BANGUN NUSA RAYA RT 11 RW 13 CENGKARENG TIMUR. JAKARTA BARAT;Usaha Layanan Wisata; Perhotelan; Kuliner;;;;;;;;Jakarta Barat;60.61;62.73;52.91;51.97;;A;114 murid;15 murid;70 murid;9 murid;
70054389;SMK NEGERI 74;JL. MOCH. KAHFI II. RT 11 RW 08;Seni Musik; Seni Tari; Seni Karawitan; Seni Teater;;;;;;;Jakarta Selatan;53.42;71.79;49.31;47.79;;Belum Terdaftar/Belum Terakreditasi;76 murid;11 murid;49 murid;14 murid;
20100216;SMA NEGERI 1;JL. BUDI UTOMO NO. 7;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Pusat;66.04;65.68;95.97;96.63;91.66;A;70 murid;20 murid;12 murid;77 murid;98 murid
20101622;SMA NEGERI 2;JL. GAJAH MADA NO. 175;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Barat;69.12;65.08;93.33;94.40;92.10;A;61 murid;17 murid;12 murid;62 murid;85 murid
20102216;SMA NEGERI 3;JL. SETIABUDI II. JAKARTA SELATAN;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Selatan;66.65;66.2;94.23;94.25;90.965;A;79 murid;22 murid;21 murid;93 murid;110 murid
20100211;SMA NEGERI 4;JL. BATU 3;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Pusat;61.5;62.19;86.88;91.75;87.95;A;53 murid;15 murid;11 murid;61 murid;74 murid
20100210;SMA NEGERI 5;JL. RAYA SUMUR BATU;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Pusat;65.46;60.9;91.60;95.10;91.25;A;72 murid;20 murid;11 murid;75 murid;100 murid
20102574;SMA NEGERI 6;JL. MAHAKAM I/2 BLOK C;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Selatan;69.64;66.07;96.50;95.33;92.465;A;79 murid;22 murid;20 murid;93 murid;110 murid
20100200;SMA NEGERI 7;JL. KARET PS. BARU BARAT V;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Pusat;56.9;56.21;86.95;93.63;86.775;A;52 murid;15 murid;17 murid;54 murid;73 murid
20102568;SMA NEGERI 8;JL TAMAN BUKIT DURI TEBET;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Selatan;81.47;76.44;98.28;96.85;95.575;A;88 murid;25 murid;18 murid;103 murid;123 murid
20103279;SMA NEGERI 9;JL. SMU NEGERI 9 JAKARTA HALIM PERDANA KUSUMA;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;60.69;59.94;87.55;91.05;89.915;A;62 murid;17 murid;12 murid;66 murid;87 murid
20100217;SMA NEGERI 10;JL. MANGGA BESAR XIII;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Pusat;56.06;57.29;87.35;88.98;85.515;A;43 murid;12 murid;17 murid;43 murid;59 murid
20103287;SMA NEGERI 11;JL. PENDIDIKAN;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;62.94;57.93;87.83;91.20;91.255;A;53 murid;15 murid;15 murid;53 murid;74 murid
